IFIL - Carteira do Dia 22/09/23
Setor;Código;Ação;Tipo;Qtde. Teórica;Part. (%);Part. (%)Acum.
Financ e Outros / Fundos;VCJR11;FII VECTIS;CI;14.723.970;1,270;100,000;
Financ e Outros / Fundos;VSLH11;FII VERS CRI;CI;29.864.091;0,101;100,000;
Financ e Outros / Fundos;VILG11;FII VINCI LG;CI;14.997.396;1,485;100,000;
Financ e Outros / Fundos;VINO11;FII VINCI OF;CI;82.826.295;0,685;100,000;
Financ e Outros / Fundos;VISC11;FII VINCI SC;CI;21.243.688;2,389;100,000;
Financ e Outros / Fundos;XPCI11;FII XP CRED;CI;8.701.552;0,705;100,000;
Financ e Outros / Fundos;XPLG11;FII XP LOG;CI;27.101.061;2,852;100,000;
Financ e Outros / Fundos;XPML11;FII XP MALLS;CI  ER;30.822.213;3,156;100,000;
Financ e Outros / Fundos;XPSF11;FII XP SELEC;CI;43.302.140;0,347;100,000;
Quantidade Teórica Total;;;;1.841.570.446;100,000;100,000
Redutor;;;;75.469.933,36215785
